!�ڵ�����
N,   226,           0.948,           0.000,           0.469
N,   227,           0.890,           0.113,           0.471
N,   228,           0.543,           0.715,           0.471
N,   229,           0.474,           0.821,           0.469
N,   230,           0.348,           0.828,           0.471
N,   231,          -0.348,           0.828,           0.471
N,   232,          -0.474,           0.821,           0.469
N,   233,          -0.543,           0.715,           0.471
N,   234,          -0.890,           0.113,           0.471
N,   235,          -0.948,           0.000,           0.469
N,   236,          -3.985,          -0.139,           0.000
N,   237,          -3.697,          -1.494,           0.000
N,   238,          -3.306,          -2.230,           0.000
N,   239,          -2.770,          -2.869,           0.000
N,   240,          -2.113,          -3.382,           0.000
N,   241,          -1.364,          -3.747,           0.000
N,   242,          -0.555,          -3.949,           0.000
N,   243,           0.278,          -3.978,           0.000
N,   244,           1.099,          -3.833,           0.000
N,   245,           1.872,          -3.521,           0.000
N,   246,           2.563,          -3.055,           0.000
N,   247,           3.142,          -2.455,           0.000
N,   248,           3.584,          -1.748,           0.000
N,   249,           3.869,          -0.965,           0.000
N,   250,           3.985,          -0.139,           0.000
N,   251,           3.927,           0.692,           0.000
N,   252,           3.697,           1.494,           0.000
N,   253,           3.306,           2.230,           0.000
N,   254,           2.770,           2.869,           0.000
N,   255,           2.113,           3.382,           0.000
N,   256,           1.364,           3.747,           0.000
N,   257,           0.555,           3.949,           0.000
N,   258,          -0.278,           3.978,           0.000
N,   259,          -1.099,           3.833,           0.000
N,   260,          -1.872,           3.521,           0.000
N,   261,          -2.563,           3.055,           0.000
N,   262,          -3.142,           2.455,           0.000
N,   263,          -3.584,           1.748,           0.000
N,   264,          -3.869,           0.965,           0.000
N,   265,          -3.985,           0.139,           0.000
N,   266,          -3.194,          -0.139,           0.179
N,   267,          -2.835,          -1.477,           0.179
N,   268,          -2.356,          -2.160,           0.179
N,   269,          -1.717,          -2.696,           0.179
N,   270,          -0.961,          -3.049,           0.179
N,   271,          -0.139,          -3.194,           0.179
N,   272,           0.693,          -3.121,           0.179
N,   273,           1.477,          -2.835,           0.179
N,   274,           2.160,          -2.356,           0.179
N,   275,           2.696,          -1.717,           0.179
N,   276,           3.049,          -0.961,           0.179
N,   277,           3.194,          -0.139,           0.179
N,   278,           3.121,           0.693,           0.179
N,   279,           2.835,           1.477,           0.179
N,   280,           2.356,           2.160,           0.179
N,   281,           1.717,           2.696,           0.179
N,   282,           0.961,           3.049,           0.179
N,   283,           0.139,           3.194,           0.179
N,   284,          -0.693,           3.121,           0.179
N,   285,          -1.477,           2.835,           0.179
N,   286,          -2.160,           2.356,           0.179
N,   287,          -2.696,           1.717,           0.179
N,   288,          -3.049,           0.961,           0.179
N,   289,          -3.194,           0.139,           0.179
N,   290,          -2.392,          -0.138,           0.319
N,   291,          -1.921,          -1.432,           0.319
N,   292,          -1.315,          -2.002,           0.319
N,   293,          -0.551,          -2.331,           0.319
N,   294,           0.280,          -2.379,           0.319
N,   295,           1.076,          -2.140,           0.319
N,   296,           1.743,          -1.643,           0.319
N,   297,           2.200,          -0.948,           0.319
N,   298,           2.392,          -0.138,           0.319
N,   299,           2.295,           0.688,           0.319
N,   300,           1.921,           1.432,           0.319
N,   301,           1.315,           2.002,           0.319
N,   302,           0.551,           2.331,           0.319
N,   303,          -0.280,           2.379,           0.319
N,   304,          -1.076,           2.140,           0.319
N,   305,          -1.743,           1.643,           0.319
N,   306,          -2.200,           0.948,           0.319
N,   307,          -2.392,           0.138,           0.319
N,   308,          -1.578,          -0.135,           0.420
N,   309,          -0.906,          -1.299,           0.420
N,   310,          -0.135,          -1.578,           0.420
N,   311,           0.672,          -1.434,           0.420
N,   312,           1.299,          -0.906,           0.420
N,   313,           1.578,          -0.135,           0.420
N,   314,           1.434,           0.672,           0.420
N,   315,           0.906,           1.299,           0.420
N,   316,           0.135,           1.578,           0.420
N,   317,          -0.672,           1.434,           0.420
N,   318,          -1.299,           0.906,           0.420
N,   319,          -1.578,           0.135,           0.420
N,   320,          -0.738,          -0.121,           0.480
N,   321,           0.264,          -0.700,           0.480
N,   322,           0.738,          -0.121,           0.480
N,   323,           0.474,           0.578,           0.480
N,   324,          -0.264,           0.700,           0.480
N,   325,          -0.738,           0.121,           0.480
N,   326,          -0.070,          -0.121,           0.497
N,   327,           0.070,          -0.121,           0.497
N,   328,           0.140,           0.000,           0.497
N,   329,           0.070,           0.121,           0.497
N,   330,          -0.070,           0.121,           0.497
N,   331,          -0.140,           0.000,           0.497
N,   332,           0.668,           0.000,           0.483
N,   333,           0.738,           0.121,           0.480
N,   334,           0.474,          -0.578,           0.480
